capture_id,n,pos,neg,accuracy,recall,precision,fpr,tp,fp,fn,tn,avg_score
nonvpn_rdp_capture1,12,0,12,0.8333333333333334,0.0,0.0,0.16666666666666666,0,2,0,10,0.16710936879402252
nonvpn_rdp_capture_5,20,0,20,0.9,0.0,0.0,0.1,0,2,0,18,0.10023631920915795
nonvpn_rsync_capture1,1796,0,1796,0.9860801781737194,0.0,0.0,0.013919821826280624,0,25,0,1771,0.015899719268710158
nonvpn_scp_capture1,2148,0,2148,0.9827746741154563,0.0,0.0,0.01722532588454376,0,37,0,2111,0.018601066365719218
nonvpn_sftp_capture1,124,0,124,0.9838709677419355,0.0,0.0,0.016129032258064516,0,2,0,122,0.015583926902439827
nonvpn_sftp_capture3,432,0,432,0.9884259259259259,0.0,0.0,0.011574074074074073,0,5,0,427,0.018447142838531147
nonvpn_sftp_newcapture2,1286,0,1286,0.9984447900466563,0.0,0.0,0.0015552099533437014,0,2,0,1284,0.013579583716923974
nonvpn_skype-chat_capture10,40,0,40,1.0,0.0,0.0,0.0,0,0,0,40,0.01697544076995418
nonvpn_skype-chat_capture17,48,0,48,1.0,0.0,0.0,0.0,0,0,0,48,0.02177347964555972
nonvpn_skype-chat_capture18,44,0,44,1.0,0.0,0.0,0.0,0,0,0,44,0.014961871835650491
nonvpn_skype-chat_capture20,60,0,60,1.0,0.0,0.0,0.0,0,0,0,60,0.04034521717139233
nonvpn_skype-chat_capture27,70,0,70,1.0,0.0,0.0,0.0,0,0,0,70,0.04815819907060372
nonvpn_skype-chat_capture28,52,0,52,1.0,0.0,0.0,0.0,0,0,0,52,0.03598778032438814
nonvpn_skype-chat_capture31,82,0,82,0.9634146341463414,0.0,0.0,0.036585365853658534,0,3,0,79,0.09981429838034356
nonvpn_skype-chat_capture32,40,0,40,0.975,0.0,0.0,0.025,0,1,0,39,0.06514136699687198
nonvpn_skype-chat_capture34,50,0,50,0.98,0.0,0.0,0.02,0,1,0,49,0.036781139364127594
nonvpn_skype-chat_capture37,36,0,36,1.0,0.0,0.0,0.0,0,0,0,36,0.027704051307496386
nonvpn_skype-chat_capture40,42,0,42,0.9761904761904762,0.0,0.0,0.023809523809523808,0,1,0,41,0.061574339947701597
nonvpn_skype-chat_capture41,34,0,34,0.9705882352941176,0.0,0.0,0.029411764705882353,0,1,0,33,0.052084249767028884
nonvpn_skype-chat_capture48,46,0,46,1.0,0.0,0.0,0.0,0,0,0,46,0.05358264631763133
nonvpn_skype-chat_capture50,42,0,42,1.0,0.0,0.0,0.0,0,0,0,42,0.04209686022976981
nonvpn_skype-chat_capture53,40,0,40,1.0,0.0,0.0,0.0,0,0,0,40,0.04340741409003582
nonvpn_skype-chat_capture7,46,0,46,1.0,0.0,0.0,0.0,0,0,0,46,0.025670818002578314
nonvpn_skype-chat_capture8,36,0,36,1.0,0.0,0.0,0.0,0,0,0,36,0.015501784228230977
nonvpn_ssh_capture2,350,0,350,1.0,0.0,0.0,0.0,0,0,0,350,0.0031245729862128297
nonvpn_vimeo_capture1,2434,0,2434,0.9474116680361545,0.0,0.0,0.05258833196384552,0,128,0,2306,0.18584651217172404
nonvpn_voip_capture2,211,0,211,0.985781990521327,0.0,0.0,0.014218009478672985,0,3,0,208,0.01612442351259882
nonvpn_youtube_capture3,248,0,248,0.9758064516129032,0.0,0.0,0.024193548387096774,0,6,0,242,0.12664586079406986
nonvpn_youtube_capture4,148,0,148,0.8918918918918919,0.0,0.0,0.10810810810810811,0,16,0,132,0.16534298790041313
vpn_rdp_capture_3,4,4,0,1.0,1.0,1.0,,4,0,0,0,0.9999867294840563
vpn_scp_capture1,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9434061273175787
vpn_sftp_capture3,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9997046600226432
vpn_sftp_capture5,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.964747121114692
vpn_skype-chat_capture11,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999999989324297
vpn_skype-chat_capture13,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999999997819434
vpn_skype-chat_capture17,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999999989956797
vpn_skype-chat_capture20,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999999996503578
vpn_skype-chat_capture21,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999999997388891
vpn_skype-chat_capture24,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999999995178009
